pair_id,task_bucket,scene_seed,variant_id,held_out_instruction,canonical_success,held_out_success,paired_outcome
1,pick_C,926292906,pick_C:eval:001,Please lift the green cylindrical object clear of the surface,1,1,both_success
2,pick_B,707994696,pick_B:eval:002,Please lift the blue round object clear of the surface,1,1,both_success
3,push_B,959217500,push_B:eval:010,Displace the blue sphere farther from the arm by pushing,1,1,both_success
4,pick_A,1618694228,pick_A:eval:014,Bring the crimson cube up off the table,1,1,both_success
5,push_A,555057107,push_A:eval:023,Translate the crimson cube across the tabletop with a push,1,1,both_success
6,push_C,2078820455,push_C:eval:023,Translate the emerald cylinder across the tabletop with a push,1,1,both_success
7,push_A,1374794222,push_A:eval:024,Make the red cube travel away from the robot along the table,1,1,both_success
8,push_B,975232245,push_B:eval:003,Move the blue ball outward while keeping it on the table,1,1,both_success
9,pick_B,1637306984,pick_B:eval:024,Grip and elevate the blue ball from its current position,1,1,both_success
10,pick_A,419236506,pick_A:eval:007,Remove the red block from the tabletop with the gripper,1,1,both_success
11,push_B,1457948689,push_B:eval:008,Apply a forward push to send the blue round object away,1,1,both_success
12,pick_A,585783140,pick_A:eval:019,Take the red block in the gripper and raise it,1,1,both_success
13,pick_C,913228934,pick_C:eval:007,Remove the green cylindrical object from the tabletop with the gripper,1,1,both_success
14,push_C,478203436,push_C:eval:006,Apply a forward push to send the green cylinder away,1,1,both_success
15,push_C,1441459522,push_C:eval:008,Apply a forward push to send the emerald cylinder away,1,1,both_success
16,push_C,1517634042,push_C:eval:022,Translate the green cylindrical object across the tabletop with a push,1,1,both_success
17,push_A,203593294,push_A:eval:021,Translate the red cube across the tabletop with a push,1,1,both_success
18,push_B,1762934495,push_B:eval:001,Please propel the blue sphere away across the surface,1,1,both_success
19,pick_B,1789341303,pick_B:eval:009,Get hold of the blue ball and move it upward,1,1,both_success
20,pick_B,506139098,pick_B:eval:008,Remove the blue round object from the tabletop with the gripper,1,1,both_success
21,pick_B,227903496,pick_B:eval:022,Perform a pick-and-lift on the blue sphere,1,1,both_success
22,push_B,1528251841,push_B:eval:014,Use surface contact to move the blue round object away,1,1,both_success
23,push_C,1688605667,push_C:eval:017,Perform a controlled outward push on the emerald cylinder,1,1,both_success
24,push_C,986062742,push_C:eval:005,Move the emerald cylinder outward while keeping it on the table,1,1,both_success
25,pick_C,801680912,pick_C:eval:017,Use a firm grasp to elevate the emerald cylinder,1,1,both_success
26,push_B,1340645664,push_B:eval:025,Make the blue sphere travel away from the robot along the table,1,1,both_success
27,pick_A,347121498,pick_A:eval:021,Perform a pick-and-lift on the red cube,1,1,both_success
28,push_C,560580873,push_C:eval:015,Perform a controlled outward push on the green cylinder,1,1,both_success
29,pick_A,621833085,pick_A:eval:022,Perform a pick-and-lift on the red block,1,1,both_success
30,push_A,27218878,push_A:eval:016,Perform a controlled outward push on the red block,1,1,both_success
31,push_B,1229556830,push_B:eval:016,Perform a controlled outward push on the blue sphere,1,1,both_success
32,pick_A,1642418731,pick_A:eval:025,Grip and elevate the red block from its current position,1,1,both_success
33,pick_C,910299306,pick_C:eval:011,Get hold of the emerald cylinder and move it upward,1,1,both_success
34,push_A,1867110221,push_A:eval:000,Please propel the red cube away across the surface,1,1,both_success
35,pick_B,1617627810,pick_B:eval:027,Lift the specified blue ball without pushing it away,1,0,canonical_only_success
36,push_A,1475661032,push_A:eval:014,Use surface contact to move the crimson cube away,1,1,both_success
37,pick_A,1423437320,pick_A:eval:015,Use a firm grasp to elevate the red cube,1,1,both_success
38,pick_B,1419426669,pick_B:eval:026,Grip and elevate the blue round object from its current position,1,1,both_success
39,pick_B,2094560207,pick_B:eval:005,Raise the blue round object by grasping it securely,1,1,both_success
40,push_B,1652135167,push_B:eval:007,Apply a forward push to send the blue sphere away,1,1,both_success
41,push_A,1523393860,push_A:eval:003,Move the red cube outward while keeping it on the table,1,1,both_success
42,pick_B,991699438,pick_B:eval:012,Bring the blue ball up off the table,1,1,both_success
43,pick_A,1162716347,pick_A:eval:016,Use a firm grasp to elevate the red block,1,1,both_success
